人;rén<br>Человек
奶奶;nǎinai<br>Бабушка
这;zhè<br>Это
那;nà<br>То
多; duō <br> Много
几; jǐ <br> Сколько? Несколько
个; gè <br> Универсальное счётное слово (штука)
有; yǒu <br> Иметь, есть
没; méi <br> Не, нет (отрицание в прошедшем времени; 没有 не иметь)
口; kǒu <br> Счётное слово для членов семьи и свиней
岁; suì <br> Год, лет (возраст)
今年; jīnnián <br> Этот год
今天; jīntiān <br> Сегодня
女儿; nǚ'ér <br> Дочь
做; zuò <br> Делать
工作; gōngzuò <br> Работа, работать
名片; míngpiàn <br> Визитка
了; le <br> Частица (эмоциональное усиление, изменение ситуации, показатель прошедшего времени)
汉字;hànzì<br>Иероглифы
说;shuō<br>Говорить
写;xiě<br>Писать
菜;cài<br>Блюдо
会;huì<br>Уметь
吃;chī<br>Кушать
好吃;hǎochī<br>Вкусный (о еде)
怎么;zěnme<br>Как
读;dú<br>Читать
请;qǐng<br>Просить; пожалуйста; приглашать
进;jìn<br>Входить
欢迎;huānyíng<br>Добро пожаловать
喝;hē<br>Пить
茶;chá<br>Чай
吸烟;xīyān<br>Курить
好喝;hǎohē<br>Вкусный (о напитке)
两;liǎng<br>Два
看;kàn<br>Смотреть, читать
书;shū<br>Книга
问;wèn<br>Спрашивать
日;rì<br>День, число
号;hào<br>Число
月;yuè<br>Месяц
星期;xīngqī<br>Неделя
明天;míngtiān<br>Завтра
昨天;zuótiān<br>Вчера
去;qù<br>Идти (из пункта А в пункт Б)
学校;xuéxiào<br>Школа, учебное заведение
生日;shēngrì<br>День рождения
过生日;guò shēngrì<br>Праздновать день рождения
男;nán<br>Мужчина
男朋友;nánpéngyou<br>Парень (в отношениях)
女朋友;nǚpéngyou<br>Девушка (в отношениях)
想;xiǎng<br>Хотеть, думать, скучать
米饭;mǐfàn<br>Рис
上午;shàngwǔ<br>До обеда, первая половина дня
中午;zhōngwǔ<br>Полдень, середина дня
下午;xiàwǔ<br>После обеда, вторая половина дня
商店;shāngdiàn<br>Магазин
买;mǎi<br>Купить
卖;mài<br>Продать
杯子;bēizi<br>Чашка, стакан
少;shǎo<br>Мало
多少;duōshao<br>Сколько?
钱;qián<br>Деньги
块;kuài<br>Кусок - счётное слово для денег (юаней) и предметов соответствующей...
位;wèi<br>Счётное слово для персон (вежливое, уважительное)
大夫;dàifu<br>Врач, доктор
医生;yīshēng<br>Врач, доктор
看医生;kàn yīshēng<br>Обратиться к врачу, показаться врачу, сходить к врачу
医院;yīyuàn<br>Больница, госпиталь, лазарет
椅子;yǐzi<br>Стул
猫;māo<br>Кот, кошка
小猫;xiǎo māo<br>Котенок
狗;gǒu<br>Собака
小狗;xiǎogǒu<br>Щенок
在;zài<br>Находиться; в, внутри
这儿;zhèr<br>Здесь, тут, сюда
那儿;nàr<br>Там, туда
哪儿;nǎr<br>Где? Куда?
下面;xiàmiàn<br>Снизу, внизу
儿子;érzi<br>Сын
早上;zǎoshang<br>Утро
晚上;wǎnshang<br>Вечер
还好;hái hǎo<br>Нормально
挺好;tǐng hǎo<br>Отлично, замечательно
马马虎虎;mǎmǎhūhū<br>Так себе, не очень
住;zhù<br>Жить
坐;zuò<br>Сидеть
车;chē<br>Машина
桌子;zhuōzi<br>Стол
上;shàng<br>На, наверху
里;lǐ<br>В, внутри
前面;qiánmian<br>Впереди, перед
后面;hòumian<br>Позади, сзади
能;néng<br>Мочь, быть в состоянии, возможно
和;hé<br>Союз «И»
本;běn<br>Счетное слово для книг и предметов с корешками
只;zhǐ<br>1) Только 2) Счетное слово для домашних животных
